,maze,run,trial,start_loc,goal_loc,cue,CWhead,CCWhead,feedbackType,goalError,pathDistance,shPathError,startNavTime,endNavTime,navTime,arrowsDispTime,selectTime,selectChoice,selectHead,RT,subID,mazeOrder,landmarkID,goalLM
32,1.0,4,3,1,3,cue9,107.54615843799999,-72.4538415622,correct,1.169695108,44.6,-1.170297549,1257.181,1273.161,15.98,1242.0510000000002,1257.181,UP_SELECTION,-72.45384156,15.13,HSR02,1,3,landmark1B
33,1.0,4,4,3,2,cue13,-38.0101345438,141.989865456,correct,1.750609694,24.1,-1.75132649,1284.441,1293.682,9.241,1280.142,1284.441,DOWN_SELECTION,-38.01013454,4.2989999999999995,HSR02,1,2,landmark8B
34,1.0,4,5,2,1,cue3,80.0089957311,260.00899573099997,tooLong,1.4599347169999999,90.7,70.78097168,1305.895,1337.142,31.247,1300.675,1305.895,DOWN_SELECTION,260.0089957,5.22,HSR02,1,1,landmark11B
35,1.0,4,6,1,4,cue8,107.54615843799999,-72.4538415622,correct,1.3812227990000001,38.6,-1.381535571,1348.352,1363.0520000000001,14.7,1344.0910000000001,1348.352,DOWN_SELECTION,107.54615840000001,4.261,HSR02,1,4,landmark7B
36,1.0,4,7,4,2,cue13,265.99410223900003,85.99410223870001,correct,1.777734568,50.4,-1.778389014,1372.981,1391.145,18.164,1370.0220000000002,1372.981,UP_SELECTION,265.9941022,2.9589999999999996,HSR02,1,2,landmark4B
37,1.0,4,8,2,5,cue18,80.0089957311,260.00899573099997,correct,2.029673758,40.5,-2.032823252,1400.881,1415.362,14.481,1398.132,1400.881,UP_SELECTION,80.00899573,2.7489999999999997,HSR02,1,5,landmark1B
38,1.0,4,9,5,1,cue3,217.757113597,37.7571135965,correct,1.313723215,21.3,-1.313809347,1425.265,1433.171,7.906000000000001,1422.332,1425.265,DOWN_SELECTION,37.7571136,2.9330000000000003,HSR02,1,1,landmark11B
39,1.0,4,10,1,2,cue13,107.54615843799999,-72.4538415622,correct,1.419012469,18.5,-1.419028316,1442.7320000000002,1450.001,7.269,1440.152,1442.7320000000002,UP_SELECTION,-72.45384156,2.58,HSR02,1,2,landmark4B
40,1.0,5,1,3,5,cue18,-38.0101345438,141.989865456,correct,0.578732889,43.2,-0.494863205,1490.825,1506.535,15.71,1486.135,1490.825,DOWN_SELECTION,141.9898655,4.69,HSR02,1,5,landmark4B
41,1.0,5,2,5,4,cue8,217.757113597,37.7571135965,correct,2.132210598,19.5,2.132291517,1518.411,1526.4620000000002,8.051,1513.505,1518.411,DOWN_SELECTION,217.7571136,4.906000000000001,HSR02,1,4,landmark1B
