subID,run,trial,startID,goalID,cue,feedbackType,goalError,pathDistance,shPathError,RT,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,switchCorrect,trackDirCorrect,locCorrect
HSR31,11,2,13,8,cue4,correct,2.435478521,46,2.440573573,3.835000038,across,2,2,1,1,1
HSR31,11,3,8,2,cue11,incorrect,40.50081246,69,5.317022751,18.93499994,across,3,3,0,0,0
HSR31,11,4,2,4,cue14,tooLong,0.799092153,67.7,22.52197579,2.501000166,within,1,2,1,1,1
HSR31,11,5,4,14,cue21,correct,1.249399101,49.4,-0.27571279,10.82199979,across,2,2,1,1,1
HSR31,11,6,14,10,cue13,incorrect,59.44756722,104.1,10.62917073,4.601999998,across,2,4,0,0,0
HSR31,11,7,10,7,cue18,correct,2.459201078,37.25,-2.459635166,1.552000046,within,1,2,1,1,1
HSR31,11,8,7,3,cue10,correct,1.223788756,54.8,5.447603454,3.762000084,across,3,3,1,1,1
HSR31,11,9,3,1,cue17,correct,1.962781338,42.4,1.962964981,1.972999811,within,1,2,1,1,1
HSR31,11,10,1,11,cue7,tooLong,1.914513704,83.3,14.99862898,3.32400012,across,3,3,1,1,1
HSR31,12,1,11,5,cue3,incorrect,33.40179225,90.2,44.74160037,4.967000008,across,3,2,0,0,0
HSR31,12,2,5,15,cue15,tooLong,0.047196487,106,35.44420178,1.648999929,across,3,3,0,0,1
HSR31,12,3,15,12,cue2,correct,1.859832472,40.4,-1.860317736,2.268000126,within,1,2,1,1,1
HSR31,12,4,12,6,cue8,incorrect,37.44326204,49.2,-1.83456154,3.105999947,across,2,3,0,0,0
HSR31,12,5,6,9,cue22,correct,0.90698782,43.3,0.90702667,10.01899981,within,1,2,1,1,1
HSR31,12,6,9,13,cue16,incorrect,4.057502053,75.6,4.516829454,2.213999987,across,2,3,1,1,1
HSR31,12,7,13,7,cue18,incorrect,34.46493522,53.9,1.800755393,2.195000172,across,3,3,0,0,0
HSR31,12,8,7,10,cue13,incorrect,53.06762105,123.3,83.59036483,1.450999975,within,1,2,0,0,0
HSR31,12,9,10,8,cue4,tooLong,3.222255154,65.4,15.48799461,2.23300004,within,1,2,1,0,1
HSR31,12,10,8,3,cue10,correct,3.594062477,42.9,-0.015378366,1.452000141,across,3,2,1,1,1
HSR32,4,1,8,4,cue13,correct,0.332966255,53.7,4.984648434,1.808,across,3,3,1,1,1
HSR32,4,2,4,1,cue2,correct,0.600129547,45.3,0.600151255,1.418,within,1,2,1,1,1
HSR32,4,3,1,12,cue21,tooLong,0.000489074,108.4,39.24399009,0.236,across,2,3,1,0,1
HSR32,4,4,12,14,cue10,tooLong,1.268072396,65.4,19.98982051,2.304,within,1,2,1,0,1
HSR32,4,5,14,6,cue8,tooLong,3.867874505,83.4,14.14376175,1.053,across,3,3,0,0,1
HSR32,4,6,6,3,cue4,correct,0.934826647,45.2,-0.832280057,1.344,across,2,2,1,1,1
HSR32,4,7,3,7,cue6,correct,3.674445892,54.8,0.866081663,1.294,across,2,3,1,1,1
HSR32,4,8,7,9,cue3,correct,0.447054284,44.4,-0.447322095,2.397,within,1,2,1,1,1
HSR32,4,9,9,2,cue20,correct,0.89422081,91.8,-0.404359923,2.921,across,3,4,1,1,1
HSR32,4,10,2,15,cue18,tooLong,1.350735283,87,8.837009076,1.282,across,2,3,1,0,1
HSR32,5,1,15,5,cue12,correct,1.510112948,65.8,-1.481140067,7.198,across,3,3,1,1,1
HSR32,5,2,5,11,cue22,correct,0.863920254,52.8,5.056588909,1.635,across,3,2,1,1,1
HSR32,5,3,11,13,cue14,incorrect,4.361199345,47.6,-0.513457929,1.981,within,1,2,1,1,1
HSR32,5,4,13,10,cue5,tooLong,1.583167734,87,11.31096061,1.083,across,3,3,0,0,1
HSR32,5,5,10,8,cue7,correct,0.785637032,44,-0.786241084,3.836,within,1,2,1,1,1
HSR32,5,6,8,4,cue13,incorrect,18.36617522,39.85,-8.865351566,5.688,across,3,3,0,0,0
HSR32,5,7,4,1,cue2,correct,0.100121796,44.8,0.100151255,3.653,within,1,2,1,1,1
HSR32,5,8,1,12,cue21,correct,2.67496154,76.1,6.94399009,1.832,across,2,3,0,0,1
HSR32,5,9,12,14,cue10,tooLong,0.849765791,194.9,149.4898205,3.721,within,1,2,0,0,1
HSR32,5,10,14,6,cue8,incorrect,42.75817248,39.8,-29.45623825,1.169,across,3,3,0,0,0
HSR32,6,1,6,8,cue7,correct,1.319459201,37.6,-1.286037713,3.159,within,1,2,1,1,1
HSR32,6,2,8,4,cue13,correct,0.998267537,53.3,4.584648434,1.576,across,3,3,1,1,1
