1,run,trial,startID,goalID,cue,feedbackType,goalError,pathDistance,shPathError,RT,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,switchCorrect,trackDirCorrect,locCorrect
HSR09,6,5,13,10,cue9,tooLong,1.777480012,77.2,8.998790258,1.91899991,across,3,3,1,1,1
HSR09,6,6,10,14,cue2,tooLong,2.075175398,112.4,21.10279017,2.31000018,across,3,4,1,0,1
HSR09,6,7,14,1,cue7,correct,1.219584207,79,3.540338025,1.69099999,across,2,3,1,1,1
HSR09,6,8,1,11,cue8,tooLong,1.928404995,101.4,37.87141792,3.77999997,across,3,3,0,0,1
HSR09,6,9,11,4,cue19,correct,0.766465178,53.1,4.36759234,2.63999986,across,2,3,1,1,1
HSR09,6,10,4,9,cue20,tooLong,2.793494019,83.8,14.03075586,1.93400001,across,2,3,0,0,1
HSR10,5,1,4,1,cue4,correct,2.23848264,41.4,-2.218921527,14.051,within,1,2,1,1,1
HSR10,5,2,1,15,cue22,correct,0.069590523,93.2,0.851208213,4.04,across,2,4,1,1,1
HSR10,5,3,15,10,cue9,correct,1.806406498,73.5,2.954184304,3.04,across,2,3,1,1,1
HSR10,5,4,10,12,cue15,tooLong,3.442093432,88.2,22.74765715,1.866,across,2,3,1,0,1
HSR10,5,5,12,7,cue3,correct,1.288289344,36,1.934961885,0.8,across,2,2,1,1,1
HSR10,5,6,7,13,cue8,correct,1.265287654,58,6.02756311,1.257,across,3,3,1,1,1
HSR10,5,7,13,11,cue20,correct,2.017965322,44.4,-2.02112111,6.62,within,1,2,1,1,1
HSR10,5,8,11,5,cue16,correct,1.913261411,54,5.144829827,1.001,across,3,2,1,1,1
HSR10,5,9,5,3,cue2,correct,2.145274354,46.3,-2.148646895,5.74,within,1,2,1,1,1
HSR10,5,10,3,9,cue7,correct,1.665163969,70.8,-1.485986694,1.19,across,3,3,1,1,1
HSR10,6,1,9,6,cue19,tooLong,2.803796916,64,20.4048094,1.789,within,1,2,1,0,1
HSR10,6,2,6,14,cue21,tooLong,3.231310455,87.2,18.82616263,2.501,across,3,3,0,0,1
HSR10,6,3,14,8,cue11,correct,0.78125976,59,3.770506648,1.41,across,2,2,1,1,1
HSR10,6,4,8,2,cue13,tooLong,2.309204635,98.6,31.73048347,3.13,across,3,3,0,0,1
HSR10,6,5,2,4,cue5,incorrect,39.45509991,131.2,82.86170938,13.4,within,1,2,0,0,0
HSR10,6,6,4,1,cue4,correct,2.917662345,40.7,-2.918921527,14.579,within,1,2,1,1,1
HSR10,6,7,1,4,cue5,correct,0.981121681,44.6,0.981178473,2.506,within,1,2,1,1,1
HSR10,6,8,4,2,cue13,correct,0.36162777,48.7,0.361709382,7.22,within,1,2,1,1,1
HSR10,6,9,2,8,cue11,correct,0.748897014,66.3,-0.569516528,2.27,across,3,3,1,1,1
HSR10,6,10,8,3,cue2,tooLong,2.980438133,77.1,29.00354374,7.449,across,3,2,0,0,1
HSR12,5,1,11,3,cue5,correct,0.668667734,42.5,-0.41811709,8.85599995,across,2,2,1,1,1
HSR12,5,2,3,5,cue17,correct,0.481787726,45.1,0.481992462,4.32999993,within,1,2,1,1,1
HSR12,5,3,5,15,cue15,tooLong,0.447708643,79,8.385141286,5.21799993,across,3,3,1,1,1
HSR12,5,4,15,5,cue17,correct,0.763763036,72.3,0.764241286,1.55999994,across,3,3,1,1,1
HSR12,5,5,5,14,cue6,correct,0.052092123,75.5,0.922099281,8.73899984,across,2,3,1,1,1
HSR12,5,6,14,1,cue10,correct,1.011556391,87.3,3.858821433,7.069,across,2,3,1,1,1
HSR12,5,7,1,11,cue14,correct,1.188522736,64.7,-0.268487342,5.12000012,across,3,3,1,1,1
HSR12,5,8,11,13,cue20,correct,0.692150513,45.2,-0.692455524,3.26099992,within,1,2,1,1,1
HSR12,5,9,13,10,cue3,correct,1.267085722,75,-1.164380976,4.64999986,across,3,3,1,1,1
HSR12,5,10,10,3,cue5,correct,0.589951389,70.6,-0.487342542,4.07299995,across,2,3,1,1,1
HSR12,6,1,3,8,cue22,correct,0.700778708,41.9,0.813114319,3.17400002,across,3,2,1,1,1
HSR12,6,2,8,6,cue2,correct,0.655560448,38.9,-0.655838433,6.07700014,within,1,2,1,1,1
