,X,run,trial,startID,goalID,cue,CWhead,CCWhead,feedbackType,goalError,pathDistance,shPathError,startNavTime,endNavTime,navTime,arrowsDispTime,selectTime,selectChoice,selectHead,RT,subID,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,maze,mazeOrder,landmarkID,goalLM,isCorrect,geCat,hubCat,goalCat,headingCat,newFeedbackType,shortestLen,relPathIneff,percIneff,startlandmark,neuralSimilarity_HPC_bilateral,stim1act_HPC_bilateral,stim2act_HPC_bilateral,V1_HPC_bilateral,IT_HPC_bilateral,neuralSimilarity_HPC_left,stim1act_HPC_left,stim2act_HPC_left,V1_HPC_left,IT_HPC_left,neuralSimilarity_HPC_right,stim1act_HPC_right,stim2act_HPC_right,V1_HPC_right,IT_HPC_right,startfractal,endfractal,neuralSimilarity_HPC_bilateral_fr,stim1act_HPC_bilateral_fr,stim2act_HPC_bilateral_fr,V1_HPC_bilateral_fr,IT_HPC_bilateral_fr
613,38,4,9,1,11,cue9,103.89078020000001,-76.10921978,tooLong,0.989449248,142.95,74.20683646,1826.116,1886.505,60.38899994,1825.29,1826.116,UP_SELECTION,103.89078020000001,0.825999975,29,across,3,3,3,3,7,landmark6B,1,correct,hub,hub,0,correctNonSP,68.74316354,1.079479509,107.94795090000001,1,-0.11813973800000001,-0.059105355,0.104579058,0.888446663,0.856544105,-0.12930976800000002,-0.043723712000000005,0.10087168699999999,0.888446663,0.856544105,-0.10696970800000001,-0.074486998,0.108286429,0.888446663,0.856544105,a,k,-0.09460566574999998,-0.00997042,0.0429216255,0.894175787,0.7848764509999999
614,39,4,10,11,14,cue13,203.57852830000002,23.57852826,correct,1.629661623,44.35,-1.630277384,1895.386,1910.84,15.454,1893.4360000000001,1895.386,UP_SELECTION,203.57852830000002,1.9500000480000002,29,within,1,2,3,3,11,landmark13B,1,correct,notHub,withinComm,1,correctSP,45.98027738,0.0,0.0,7,-0.014006177,0.094290475,0.026287286,0.9093772990000001,0.7190416940000001,-0.038803909,0.0036336529999999997,-0.031750794,0.9093772990000001,0.7190416940000001,0.010791556,0.18494729699999998,0.084325366,0.9093772990000001,0.7190416940000001,k,n,-0.053407509250000006,-0.004901667500000002,0.09109745250000001,0.905232505,0.6758430959999999
615,40,5,1,14,7,cue12,-12.39719272,167.6028073,tooLong,0.6280644320000001,76.6,9.003673691,1935.1860000000001,1964.1860000000001,29.0,1934.286,1935.1860000000001,UP_SELECTION,-12.39719272,0.900000095,29,across,2,3,2,1,6,landmark17B,1,correct,notHub,inbetween,0,correctSP,67.59632631,0.133197678,13.31976778,11,-0.080450343,-0.07099356799999999,0.089474496,0.856965612,0.607240869,-0.08237886900000001,-0.11781280300000001,0.097964253,0.856965612,0.607240869,-0.07852181700000001,-0.024174333,0.080984738,0.856965612,0.607240869,n,g,-0.049288623999999996,0.1068519785,0.08521917700000001,0.9328500279999999,0.869165345
616,41,5,2,7,10,cue16,32.57951117,212.57951119999998,correct,0.993249945,47.25,0.993296464,1973.036,1989.325,16.28900003,1971.1760000000002,1973.036,UP_SELECTION,32.57951117,1.859999895,29,within,1,2,2,1,9,landmark14B,1,correct,notHub,withinComm,1,correctSP,46.25670354,0.021473568,2.1473567890000003,6,-0.134560512,-0.070433266,0.10334879400000001,0.891229952,0.541143946,-0.136914683,-0.056012399000000004,0.059780926,0.891229952,0.541143946,-0.132206341,-0.084854132,0.146916662,0.891229952,0.541143946,g,j,-0.018707669749999996,0.05373292849999999,0.115937596,0.916328508,0.8998464909999999
617,42,5,3,10,13,cue7,196.2759772,16.27597722,tooLong,0.263976497,89.3,20.64830801,1996.815,2041.136,44.3210001,1996.3029999999999,1996.815,UP_SELECTION,196.2759772,0.511999846,29,across,3,3,3,3,3,landmark1B,1,correct,hub,hub,0,correctNonSP,68.65169199,0.300769106,30.07691059,9,0.035690522,0.162475238,-0.031092677000000003,0.919597005,0.73795324,-0.010612027,0.10767235,-0.047807734000000005,0.919597005,0.73795324,0.081993071,0.21727812600000002,-0.014377619,0.919597005,0.73795324,j,m,-0.02438047075,0.056106662499999994,0.0016790979999999995,0.859804793,0.890823481
618,43,5,4,13,6,cue8,102.7811052,-77.21889482,tooLong,2.409092729,94.1,46.53888503,2049.269,2105.045,55.77600002,2048.105,2049.269,DOWN_SELECTION,102.7811052,1.164000034,29,across,3,2,2,1,5,landmark8B,1,correct,hub,hub,0,correctNonSP,47.56111497,0.9785070229999999,97.85070233,3,0.02706125,0.007947602,0.025656203,0.927763454,0.673118115,0.0326216,0.014638607,0.014829445,0.927763454,0.673118115,0.0215009,0.001256597,0.03648296,0.927763454,0.673118115,m,f,-0.012584015249999997,-0.0099963405,0.1527776455,0.901779855,0.8894008870000001
619,44,5,5,6,12,cue14,86.15194237,266.1519424,tooLong,2.421003195,87.7,34.31436679,2115.3289999999997,2148.705,33.37599993,2112.035,2115.3289999999997,UP_SELECTION,86.15194237,3.294000149,29,across,3,3,3,3,10,landmark5B,1,correct,notHub,inbetween,0,correctNonSP,53.38563321,0.642764068,64.27640684,5,-0.066929509,0.004633779,0.014211618999999998,0.928255547,0.765720062,-0.162801921,-0.010022027,0.032324200000000004,0.928255547,0.765720062,0.028942903,0.019289585,-0.003900962,0.928255547,0.765720062,f,l,-0.11849309375,0.029971615499999996,-0.0058082675,0.9135248840000001,0.8684026640000001
620,45,5,6,12,15,cue19,148.1546841,-31.84531589,correct,0.279482778,43.45,-0.279487315,2156.885,2176.389,19.50399995,2155.678,2156.885,UP_SELECTION,-31.84531589,1.207000017,29,within,1,2,3,3,12,landmark15B,1,correct,notHub,withinComm,1,correctSP,43.72948732,0.0,0.0,10,-0.153488263,0.038231761,0.11985533300000001,0.931833568,0.825790107,-0.13800938599999998,-0.059377347000000004,0.098568196,0.931833568,0.825790107,-0.16896714,0.135840869,0.141142469,0.931833568,0.825790107,l,o,0.07475159425,0.065140366,-0.039186996,0.922160768,0.859833008
621,46,5,7,15,4,cue10,-50.72381121,129.2761888,correct,0.230639459,69.35,-0.230619745,2184.715,2212.135,27.42000008,2183.375,2184.715,UP_SELECTION,-50.72381121,1.339999914,29,across,2,3,1,2,4,landmark18B,1,correct,notHub,inbetween,1,correctSP,69.58061974,0.0,0.0,12,-0.06339879,-0.022041037000000003,-0.095813005,0.8930605209999999,0.5736922870000001,-0.024156032,-0.06528356099999999,-0.11231674,0.8930605209999999,0.5736922870000001,-0.10264154699999999,0.021201487,-0.079309271,0.8930605209999999,0.5736922870000001,o,d,0.014565532250000002,0.0963802545,-0.045443063,0.881141596,0.9684761740000001
622,47,5,8,4,8,cue17,-88.71984845,91.28015155,correct,0.320545411,58.25,3.1332419039999997,2220.915,2244.905,23.99000001,2219.125,2220.915,UP_SELECTION,91.28015155,1.7899999619999998,29,across,2,3,2,1,7,landmark6B,1,correct,hub,hub,1,correctSP,55.1167581,0.056847355,5.684735483,4,0.008089672,-0.001853216,0.104579058,0.925818303,0.77777223,0.007053575,-0.024111457000000003,0.10087168699999999,0.925818303,0.77777223,0.00912577,0.020405026,0.108286429,0.925818303,0.77777223,d,h,-0.07146100650000001,-0.039499168999999994,0.08293821850000001,0.856443752,0.929128883
623,48,5,9,8,5,cue11,-35.91964864,144.08035139999998,tooLong,0.840363042,127.6,82.22491353,2252.739,2321.625,68.88600016,2251.855,2252.739,DOWN_SELECTION,-35.91964864,0.884000063,29,across,2,2,1,2,5,landmark8B,1,correct,hub,hub,0,correctNonSP,45.37508647,1.812115853,181.21158530000002,7,-0.038745315,0.094290475,0.025656203,0.90936535,0.653497087,-0.008419589,0.0036336529999999997,0.014829445,0.90936535,0.653497087,-0.069071041,0.18494729699999998,0.03648296,0.90936535,0.653497087,h,e,-0.03133096975,0.027948469999999996,0.0821448815,0.901976535,0.9365187309999999
624,49,5,10,5,2,cue4,226.86698080000002,46.86698079,tooLong,1.309889073,62.15,13.53090626,2330.319,2354.715,24.39599991,2328.584,2330.319,DOWN_SELECTION,226.86698080000002,1.735000134,29,within,1,2,1,2,2,landmark10B,1,correct,notHub,withinComm,0,correctSP,48.61909374,0.27830437,27.83043701,5,0.043022776,0.004633779,0.12651289300000002,0.949781502,0.525588751,0.014440841999999999,-0.010022027,0.143024412,0.949781502,0.525588751,0.07160471,0.019289585,0.11000137300000001,0.949781502,0.525588751,e,b,-0.061894432000000006,-0.044394506,-0.004089694499999999,0.9678714079999999,0.903095408
625,50,6,1,2,9,cue22,72.74861673,252.74861669999999,tooLong,0.474473926,117.95,31.33913496,2379.225,2421.505,42.27999997,2378.215,2379.225,DOWN_SELECTION,252.74861669999999,1.00999999,29,across,2,4,2,1,8,landmark3B,1,correct,notHub,withinComm,0,correctNonSP,86.61086504,0.36183837799999996,36.18383784,2,-0.030973913,0.018632278000000002,0.029489855,0.91960781,0.650386852,-0.043428388,-0.042021659,0.022224074,0.91960781,0.650386852,-0.018519438,0.07928621400000001,0.036755636,0.91960781,0.650386852,b,i,-0.1064330495,-0.079481069,0.023011837,0.9651805170000001,0.88303199
626,51,6,2,9,3,cue3,230.7250954,50.72509545,tooLong,0.17029078600000003,119.75,51.41171341,2429.205,2485.368,56.16299987,2428.484,2429.205,DOWN_SELECTION,230.7250954,0.7209999559999999,29,across,3,3,1,2,3,landmark1B,1,correct,hub,hub,0,correctNonSP,68.33828659,0.752312005,75.2312005,8,-0.054008372,-0.025529918999999998,-0.031092677000000003,0.955434714,0.685202532,-0.026171247999999998,-0.007242335,-0.047807734000000005,0.955434714,0.685202532,-0.08184549599999999,-0.043817503,-0.014377619,0.955434714,0.685202532,i,c,-0.1151595705,0.0713712395,0.0428391665,0.9310256459999999,0.9192603309999999
627,52,6,3,3,1,cue20,-21.69293477,158.30706519999998,correct,2.051341196,39.05,-2.052207993,2495.195,2508.985,13.78999996,2492.335,2495.195,UP_SELECTION,-21.69293477,2.860000134,29,within,1,2,1,2,1,landmark2B,1,correct,notHub,withinComm,1,correctSP,41.10220799,0.0,0.0,3,-0.037701023,0.007947602,0.084033742,0.933264387,0.8210064140000001,-0.10418112800000001,0.014638607,0.049295430999999994,0.933264387,0.8210064140000001,0.028779081,0.001256597,0.118772053,0.933264387,0.8210064140000001,c,a,-0.05657434875,0.0085139295,0.1224227765,0.912689112,0.884844234
628,53,6,4,1,10,cue16,103.89078020000001,-76.10921978,tooLong,1.302073101,65.45,8.529784016,2516.795,2539.945,23.150000100000003,2515.945,2516.795,UP_SELECTION,103.89078020000001,0.849999905,29,across,2,2,2,1,9,landmark14B,1,correct,notHub,withinComm,0,correctSP,56.92021598,0.149855089,14.98550887,1,-0.034525661,-0.059105355,0.10334879400000001,0.8848720940000001,0.7292946640000001,-0.039344039,-0.043723712000000005,0.059780926,0.8848720940000001,0.7292946640000001,-0.029707282999999998,-0.074486998,0.146916662,0.8848720940000001,0.7292946640000001,a,j,0.03387285925,-0.00997042,0.115937596,0.940725128,0.830713232
