,run,trial,startID,goalID,cue,CWhead,CCWhead,feedbackType,goalError,pathDistance,shPathError,startNavTime,endNavTime,navTime,arrowsDispTime,selectTime,selectChoice,selectHead,RT,subID,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,maze,mazeOrder,landmarkID,goalLM
30,4,1,3,1,cue3,-38.0101345438,141.989865456,incorrect,25.58354229,22.3,-23.47029755,1916.763,1932.275,15.512,1906.9089999999999,1916.763,DOWN_SELECTION,141.9898655,9.854,HSR02,within,1.0,2.0,1.0,1,1,landmark18B
31,4,2,1,11,cue2,107.54615843799999,-72.4538415622,correct,1.9872419469999998,73.3,5.047284396,2000.0620000000001,2064.377,64.315,1945.683,2000.0620000000001,DOWN_SELECTION,107.54615840000001,54.379,HSR02,across,3.0,3.0,3.0,3,7,landmark7B
32,4,3,11,13,cue22,207.840947976,27.8409479757,correct,1.175706608,44.8,1.176679158,2078.455,2094.812,16.357,2071.281,2078.455,DOWN_SELECTION,27.84094798,7.1739999999999995,HSR02,within,1.0,2.0,3.0,3,3,landmark4B
33,4,4,13,6,cue17,102.78110517799999,-77.2188948219,tooLong,1.392026931,111.0,66.09564795,2108.072,2188.9829999999997,80.911,2101.743,2108.072,DOWN_SELECTION,102.7811052,6.329,HSR02,across,3.0,2.0,2.0,2,5,landmark13B
34,4,5,6,14,cue16,72.3727287096,252.37272871,tooLong,1.002162921,106.2,39.97942394,2207.181,2311.7129999999997,104.53200000000001,2195.873,2207.181,DOWN_SELECTION,252.3727287,11.308,HSR02,across,3.0,3.0,3.0,3,11,landmark1B
35,4,6,14,12,cue21,-12.3971927173,167.602807283,correct,1.981902883,42.3,1.981968397,2326.097,2342.094,15.997,2318.621,2326.097,DOWN_SELECTION,-12.39719272,7.476,HSR02,within,1.0,2.0,3.0,3,10,landmark11B
36,4,7,12,15,cue20,145.579686976,-34.420313024,correct,1.227349367,49.2,-1.227310967,2358.344,2379.362,21.018,2349.0029999999997,2358.344,UP_SELECTION,145.579687,9.341000000000001,HSR02,within,1.0,2.0,3.0,3,12,landmark8B
37,4,8,15,5,cue18,-43.641695038,136.358304962,tooLong,0.203214901,84.2,12.8087451,2396.209,2450.794,54.585,2386.284,2396.209,DOWN_SELECTION,136.358305,9.925,HSR02,across,3.0,3.0,1.0,1,5,landmark13B
38,4,9,5,8,cue4,217.757113597,37.7571135965,correct,0.0011822830000000001,46.9,2.615183621,2460.294,2480.4629999999997,20.169,2457.6820000000002,2460.294,DOWN_SELECTION,217.7571136,2.612,HSR02,across,2.0,2.0,2.0,2,7,landmark7B
39,4,10,8,14,cue16,-23.860641462199997,156.13935853799998,correct,1.435297416,61.8,6.359551776,2496.391,2543.526,47.135,2487.363,2496.391,DOWN_SELECTION,-23.86064146,9.027999999999999,HSR02,across,2.0,2.0,3.0,3,11,landmark1B
40,5,1,14,6,cue17,-12.3971927173,167.602807283,tooLong,0.691932378,104.1,36.90522394,2571.6910000000003,2654.883,83.19200000000001,2566.59,2571.6910000000003,UP_SELECTION,-12.39719272,5.101,HSR02,across,3.0,3.0,2.0,2,5,landmark13B
41,5,2,6,12,cue21,72.3727287096,252.37272871,incorrect,5.187416527,53.1,2.268469922,2666.558,2700.8979999999997,34.34,2661.804,2666.558,DOWN_SELECTION,252.3727287,4.754,HSR02,across,3.0,3.0,3.0,3,10,landmark11B
42,5,3,12,15,cue20,145.579686976,-34.420313024,correct,1.1273448209999999,49.3,-1.127310967,2727.915,2746.965,19.05,2714.305,2727.915,UP_SELECTION,145.579687,13.61,HSR02,within,1.0,2.0,3.0,3,12,landmark8B
43,5,4,15,13,cue22,-43.641695038,136.358304962,correct,1.123328176,42.5,-1.124117237,2763.9309999999996,2779.134,15.203,2753.864,2763.9309999999996,UP_SELECTION,-43.64169504,10.067,HSR02,within,1.0,2.0,3.0,3,3,landmark4B
44,5,5,13,10,cue14,102.78110517799999,-77.2188948219,tooLong,0.9799221090000001,108.4,40.50419285,2798.25,2858.677,60.427,2786.014,2798.25,UP_SELECTION,102.7811052,12.235999999999999,HSR02,across,3.0,3.0,2.0,2,9,landmark5B
45,5,6,10,3,cue9,192.38214593700002,12.3821459369,correct,0.047330597,71.9,5.9315268770000005,2873.61,2912.012,38.402,2865.583,2873.61,DOWN_SELECTION,12.38214594,8.027000000000001,HSR02,across,2.0,3.0,1.0,1,3,landmark4B
46,5,7,3,7,cue11,-38.0101345438,141.989865456,tooLong,2.1278100369999997,88.9,40.96638196,2936.64,2974.1740000000004,37.534,2918.914,2936.64,UP_SELECTION,-38.01013454,17.726,HSR02,across,2.0,3.0,2.0,2,6,landmark12B
47,5,8,7,9,cue6,35.153463033,215.15346303299998,correct,1.323539727,48.4,1.323876197,3004.8559999999998,3025.292,20.436,2981.075,3004.8559999999998,DOWN_SELECTION,215.153463,23.781,HSR02,within,1.0,2.0,2.0,2,8,landmark14B
48,5,9,9,2,cue13,230.72509544599998,50.7250954461,tooLong,0.507966711,116.3,24.33323397,3054.272,3107.712,53.44,3032.222,3054.272,DOWN_SELECTION,230.7250954,22.05,HSR02,across,3.0,4.0,1.0,1,2,landmark6B
49,5,10,2,4,cue8,80.0089957311,260.00899573099997,tooLong,0.999476796,60.9,8.721610986,3118.295,3140.705,22.41,3114.585,3118.295,DOWN_SELECTION,80.00899573,3.71,HSR02,within,1.0,2.0,1.0,1,4,landmark2B
50,6,1,4,1,cue3,265.99410223900003,85.99410223870001,correct,2.535096147,42.5,2.5184644290000002,3175.165,3206.8540000000003,31.689,3163.781,3175.165,DOWN_SELECTION,85.99410224,11.384,HSR02,within,1.0,2.0,1.0,1,1,landmark18B
51,6,2,1,11,cue2,107.54615843799999,-72.4538415622,correct,1.372073748,67.8,-0.452715604,3219.345,3264.265,44.92,3213.785,3219.345,DOWN_SELECTION,107.54615840000001,5.56,HSR02,across,3.0,3.0,3.0,3,7,landmark7B
52,6,3,11,5,cue18,207.840947976,27.8409479757,tooLong,0.6786884670000001,65.6,19.04021148,3272.7090000000003,3316.645,43.93600000000001,3271.165,3272.7090000000003,DOWN_SELECTION,27.84094798,1.544,HSR02,across,3.0,2.0,1.0,1,5,landmark13B
53,6,4,5,12,cue21,217.757113597,37.7571135965,tooLong,0.794705168,61.4,9.850724737,3342.759,3386.3059999999996,43.547,3323.565,3342.759,DOWN_SELECTION,217.7571136,19.194000000000003,HSR02,across,2.0,3.0,3.0,3,10,landmark11B
