,maze,run,trial,start_loc,goal_loc,cue,CWhead,CCWhead,feedbackType,goalError,pathDistance,shPathError,startNavTime,endNavTime,navTime,arrowsDispTime,selectTime,selectChoice,selectHead,RT,subID,mazeOrder,landmarkID,goalLM
14,2.0,2,5,6,8,cue5,94.8413088636,-85.15869113640001,correct,0.522109801765,43.5,-0.522163615284,346.35199999800005,361.88499999,15.532999992,344.83500003800003,346.35199999800005,UP_SELECTION,-85.15869113640001,1.51699996,HSR05,3,7,landmark3B
15,2.0,2,6,8,9,cue8,-10.2184786533,169.781521347,correct,0.762098789032,22.6,-0.762474975727,369.412000179,377.9150002,8.503000021,368.861999989,369.412000179,UP_SELECTION,169.781521347,0.55000019,HSR05,3,8,landmark1B
16,2.0,2,7,9,10,cue19,230.72509544599998,50.7250954461,correct,0.6756984270730001,25.1,-0.675693447069,385.861999989,395.10199999800005,9.240000009,384.882000208,385.861999989,UP_SELECTION,50.7250954461,0.979999781,HSR05,3,9,landmark12B
17,2.0,2,8,10,8,cue5,192.38214593700002,12.3821459369,correct,1.13779154455,48.0,-1.1382029548600001,404.042000055,420.952000141,16.910000086,402.065999985,404.042000055,DOWN_SELECTION,192.38214593700002,1.97600007,HSR05,3,7,landmark11B
18,2.0,2,9,8,7,cue17,-10.2184786533,169.781521347,correct,0.939678917819,17.1,-0.939773382155,428.312000036,434.912000179,6.600000143,427.872000217,428.312000036,UP_SELECTION,-10.2184786533,0.43999981899999996,HSR05,3,6,landmark2B
19,2.0,2,10,7,10,cue19,32.5795111726,212.579511173,correct,0.9006089075020001,44.0,-0.900944587552,443.40200018900003,459.03600001300003,15.633999824000002,441.882000208,443.40200018900003,UP_SELECTION,32.5795111726,1.519999981,HSR05,3,9,landmark12B
20,2.0,3,1,6,9,cue8,94.8413088636,-85.15869113640001,correct,3.60378126,41.1,-3.5943494360300003,2005.90100002,2023.72100019,17.82000017,1998.75999999,2005.90100002,UP_SELECTION,94.8413088636,7.14100003,HSR05,3,8,landmark2B
21,2.0,3,2,9,8,cue5,230.72509544599998,50.7250954461,correct,3.8448047032199995,19.5,-3.86247497573,2031.48100019,2039.329,7.84799981,2030.67000008,2031.48100019,UP_SELECTION,230.72509544599998,0.81100011,HSR05,3,7,landmark3B
22,2.0,3,3,8,10,cue19,-10.2184786533,169.781521347,incorrect,4.73113212449,44.4,-4.73820295486,2051.38100004,2067.36100006,15.98000002,2046.30400014,2051.38100004,DOWN_SELECTION,169.781521347,5.076999900000001,HSR05,3,9,landmark12B
23,2.0,3,4,10,9,cue8,192.38214593700002,12.3821459369,correct,2.57443160533,23.2,-2.5756934470700004,2081.56200004,2090.8210000999998,9.25900006,2080.80100012,2081.56200004,UP_SELECTION,192.38214593700002,0.76099992,HSR05,3,8,landmark11B
24,2.0,3,5,9,6,cue11,230.72509544599998,50.7250954461,correct,0.105579772707,44.8,0.10565056397299999,2105.01100016,2121.44099998,16.42999982,2097.77100015,2105.01100016,DOWN_SELECTION,50.7250954461,7.24000001,HSR05,3,5,landmark3B
25,2.0,3,6,6,8,cue5,94.8413088636,-85.15869113640001,correct,1.8760088318500001,45.9,1.87783638472,2129.90300012,2146.31100011,16.40799999,2128.38400006,2129.90300012,UP_SELECTION,-85.15869113640001,1.51900006,HSR05,3,7,landmark1B
26,2.0,3,7,8,9,cue8,-10.2184786533,169.781521347,correct,0.337490447865,23.7,0.33752502427299996,2154.10100007,2163.19099998,9.08999991,2153.28500009,2154.10100007,UP_SELECTION,169.781521347,0.81599998,HSR05,3,8,landmark12B
27,2.0,3,8,9,7,cue17,230.72509544599998,50.7250954461,correct,0.397775429849,41.8,0.397789383355,2171.93300009,2187.64100003,15.70799994,2170.14100003,2171.93300009,DOWN_SELECTION,230.72509544599998,1.79200006,HSR05,3,6,landmark3B
28,2.0,3,9,7,8,cue5,32.5795111726,212.579511173,correct,1.8584260536900001,19.9,1.86022661785,2195.10100007,2204.19500017,9.094000099999999,2194.59100008,2195.10100007,DOWN_SELECTION,212.579511173,0.50999999,HSR05,3,7,landmark2B
29,2.0,3,10,8,6,cue11,-10.2184786533,169.781521347,incorrect,4.79215707626,39.2,-4.822163615280001,2216.25100017,2232.08100009,15.82999992,2211.16200018,2216.25100017,DOWN_SELECTION,-10.2184786533,5.08899999,HSR05,3,5,landmark1B
30,2.0,4,1,7,9,cue8,32.5795111726,212.579511173,tooLong,2.9904221388,67.7,26.2977893834,2559.2960000000003,2588.03600001,28.74000001,2549.97000003,2559.2960000000003,UP_SELECTION,32.5795111726,9.32599997,HSR05,3,8,landmark2B
31,2.0,4,2,9,10,cue19,230.72509544599998,50.7250954461,correct,2.87342896652,22.9,-2.87569344707,2597.57600021,2606.31599998,8.73999977,2595.01600003,2597.57600021,DOWN_SELECTION,50.7250954461,2.56000018,HSR05,3,9,landmark12B
32,2.0,4,3,10,7,cue17,192.38214593700002,12.3821459369,correct,3.7001767412,41.2,-3.70094458755,2615.63600016,2630.45600009,14.81999993,2613.27600002,2615.63600016,UP_SELECTION,12.3821459369,2.36000014,HSR05,3,6,landmark1B
33,2.0,4,4,7,6,cue11,32.5795111726,212.579511173,incorrect,4.35843206821,21.6,-4.382388779019999,2638.3360001999995,2646.44000006,8.10399986,2637.39600015,2638.3360001999995,DOWN_SELECTION,32.5795111726,0.94000005,HSR05,3,5,landmark11B
34,2.0,4,5,6,10,cue19,94.8413088636,-85.15869113640001,correct,1.18083509942,20.1,1.18135937361,2660.50600004,2668.14600015,7.64000011,2659.90600014,2660.50600004,UP_SELECTION,94.8413088636,0.5999999,HSR05,3,9,landmark12B
35,2.0,4,6,10,8,cue5,192.38214593700002,12.3821459369,correct,3.2275564986000003,45.9,-3.23820295486,2679.38600016,2695.57600021,16.19000005,2675.12800002,2679.38600016,UP_SELECTION,192.38214593700002,4.25800014,HSR05,3,7,landmark2B
36,2.0,4,7,8,7,cue17,-10.2184786533,169.781521347,correct,0.060281258671399995,18.1,0.060226617845000004,2702.96600008,2709.95600009,6.99000001,2702.546,2702.96600008,UP_SELECTION,-10.2184786533,0.42000008,HSR05,3,6,landmark11B
37,2.0,4,8,7,10,cue19,32.5795111726,212.579511173,correct,1.19841880841,46.1,1.1990554124500001,2718.00600004,2734.42600012,16.42000008,2716.90600014,2718.00600004,UP_SELECTION,32.5795111726,1.0999999,HSR05,3,9,landmark1B
38,2.0,4,9,10,6,cue11,192.38214593700002,12.3821459369,correct,0.518682645791,18.4,-0.518640626391,2742.47600007,2750.30599999,7.82999992,2741.41000009,2742.47600007,DOWN_SELECTION,12.3821459369,1.06599998,HSR05,3,5,landmark3B
39,2.0,4,10,6,7,cue17,94.8413088636,-85.15869113640001,correct,3.38169630696,22.6,-3.3823887790200002,2757.6500001,2766.16000009,8.50999999,2757.26999998,2757.6500001,UP_SELECTION,-85.15869113640001,0.38000012,HSR05,3,6,landmark11B
0,3.0,1,1,12,13,cue18,148.15468411,-31.845315890300004,correct,1.49354855063,21.5,-1.4641408932799997,17.5780000687,25.717999935199998,8.1399998665,16.9379999638,17.5780000687,DOWN_SELECTION,-31.845315890300004,0.6400001049,HSR05,2,3,landmark3B
1,3.0,1,2,13,14,cue13,98.1305669092,-81.8694330908,correct,1.0408229660500001,24.2,-1.04088015294,33.7879998684,42.8080000877,9.0200002193,32.6779999733,33.7879998684,UP_SELECTION,-81.8694330908,1.1099998951,HSR05,2,11,landmark2B
2,3.0,1,3,14,12,cue15,-19.9279309311,160.072069069,correct,1.0050308241600001,47.2,-1.00505525389,50.556999921800006,67.2479999065,16.6909999847,49.757999897,50.556999921800006,DOWN_SELECTION,-19.9279309311,0.7990000248000001,HSR05,2,10,landmark11B
3,3.0,1,4,12,11,cue9,148.15468411,-31.845315890300004,correct,0.888658222034,20.5,-0.8890521313140001,75.0179998875,82.9500000477,7.932000160199999,74.2079999447,75.0179998875,UP_SELECTION,148.15468411,0.8099999428,HSR05,2,7,landmark1B
4,3.0,1,5,11,14,cue13,203.578528256,23.5785282565,correct,0.98471170472,41.5,-0.9848138994,90.10800004010001,104.937999964,14.8299999239,89.9379999638,90.10800004010001,UP_SELECTION,203.578528256,0.1700000763,HSR05,2,11,landmark2B
5,3.0,1,6,14,13,cue18,-19.9279309311,160.072069069,correct,0.94080286779,24.3,-0.9408801529440001,112.398000002,121.431999922,9.03399992,111.878000021,112.398000002,UP_SELECTION,-19.9279309311,0.519999981,HSR05,2,3,landmark3B
6,3.0,1,7,13,15,cue6,98.1305669092,-81.8694330908,correct,1.01363791095,41.7,-1.01358266902,128.871999979,144.017999887,15.145999908,128.378000021,128.871999979,DOWN_SELECTION,-81.8694330908,0.49399995799999996,HSR05,2,12,landmark12B
7,3.0,1,8,15,11,cue9,-43.641695038,136.358304962,correct,0.911598539235,24.1,-0.912066898347,151.517999887,162.388000011,10.870000124,150.977999926,151.517999887,UP_SELECTION,136.358304962,0.539999961,HSR05,2,7,landmark1B
8,3.0,1,9,11,13,cue18,203.578528256,23.5785282565,correct,0.9532667649009999,43.4,-0.9532541837180001,170.84699988399998,186.398000002,15.551000118,169.371999979,170.84699988399998,UP_SELECTION,23.5785282565,1.474999905,HSR05,2,3,landmark3B
9,3.0,1,10,13,12,cue15,98.1305669092,-81.8694330908,correct,0.564235686233,22.4,-0.564140893282,194.06800007799998,205.58800005900002,11.519999981,193.328000069,194.06800007799998,DOWN_SELECTION,98.1305669092,0.7400000090000001,HSR05,2,10,landmark11B
10,3.0,2,1,15,14,cue13,-43.641695038,136.358304962,correct,1.60103508946,15.9,-1.57273495882,230.28799986799999,237.60800004,7.320000172,229.119999886,230.28799986799999,UP_SELECTION,-43.641695038,1.167999982,HSR05,2,11,landmark2B
11,3.0,2,2,14,11,cue9,-19.9279309311,160.072069069,correct,1.48383245925,41.0,-1.4848138994,247.25799989700002,262.148000002,14.890000105,244.58800005900002,247.25799989700002,DOWN_SELECTION,160.072069069,2.6699998380000003,HSR05,2,7,landmark1B
12,3.0,2,3,11,12,cue15,203.578528256,23.5785282565,correct,0.989084122643,20.4,-0.989052131314,269.398000002,277.398000002,8.0,269.092000008,269.398000002,UP_SELECTION,23.5785282565,0.305999994,HSR05,2,10,landmark11B
13,3.0,2,4,12,15,cue6,148.15468411,-31.845315890300004,correct,1.00100808385,45.4,-1.0011690286900001,287.417999983,303.601999998,16.184000015,284.34800005,287.417999983,DOWN_SELECTION,148.15468411,3.069999933,HSR05,2,12,landmark12B
14,3.0,2,5,15,13,cue18,-43.641695038,136.358304962,correct,0.413587262013,42.3,-0.413582669018,311.57800006900004,327.277999878,15.699999809000001,310.588999987,311.57800006900004,UP_SELECTION,-43.641695038,0.989000082,HSR05,2,3,landmark3B
15,3.0,2,6,13,11,cue9,98.1305669092,-81.8694330908,correct,0.752918596807,43.6,-0.753254183718,338.26799988700003,353.767999887,15.5,334.26799988700003,338.26799988700003,UP_SELECTION,98.1305669092,4.0,HSR05,2,7,landmark1B
16,3.0,2,7,11,15,cue6,203.578528256,23.5785282565,correct,1.01191023223,24.0,-1.0120668983499999,362.197999954,371.58999991400003,9.39199996,360.737999916,362.197999954,UP_SELECTION,203.578528256,1.4600000380000002,HSR05,2,12,landmark12B
17,3.0,2,8,15,12,cue15,-43.641695038,136.358304962,correct,0.8011236005660001,45.6,-0.801169028691,381.17799997300006,398.28799986800004,17.109999895,378.559000015,381.17799997300006,DOWN_SELECTION,136.358304962,2.6189999580000003,HSR05,2,10,landmark11B
